      0000001222   85084   8.2  All About Eve (1950)
      0000001222   76182   8.2  Yôjinbô (1961)
      0000001321  1008180   8.2  Batman Begins (2005)
      0000001222  179688   8.2  Some Like It Hot (1959)
      0000001222   81408   8.2  The Treasure of the Sierra Madre (1948)
      0000001222  687954   8.2  Up (2009)
      0000001321  285027   8.2  Unforgiven (1992)
      0000001321  254839   8.2  Der Untergang (2004)
      0000001222  116736   8.2  The Third Man (1949)
      0000001222  241060   8.2  Raging Bull (1980)
      0000001321  607046   8.2  Die Hard (1988)
      0000001223   30787   8.2  Bacheha-Ye aseman (1997)
      0000001321  170201   8.2  The Great Escape (1963)
      0000001222  441802   8.2  Heat (1995)
      0000001222  222313   8.2  Chinatown (1974)
      0000001222  375413   8.2  Inside Out (2015/I)
      0000001222  480124   8.2  El laberinto del fauno (2006)
      0000001222   43759   8.2  Ikiru (1952)
      0000001222  179882   8.2  Tonari no Totoro (1988)
      0000001222  103637   8.2  On the Waterfront (1954)
      0000001321  188812   8.2  Room (2015/I)
      0000000124   33842   8.2  Andaz Apna Apna (1994)
      0000001222   79939   8.2  Ran (1985)
      0000001222   70112   8.2  The Gold Rush (1925)
      0000001321  137070   8.2  El secreto de sus ojos (2009)
      0000001321  153766   8.2  The Bridge on the River Kwai (1957)
      0000001222   79449   8.2  Mr. Smith Goes to Washington (1939)
      0000001222  472732   8.2  Blade Runner (1982)
      0000001222  115278   8.2  Det sjunde inseglet (1957)
      0000000133   45203   8.2  A Wednesday (2008)
      0000000124   36481   8.2  Eskiya (1996)
      0000001321  424957   8.2  Lock, Stock and Two Smoking Barrels (1998)
      0000001222  222084   8.2  Hauru no ugoku shiro (2004)
      0000000123   32523   8.2  Hera Pheri (2000)
      0000001321  343042   8.2  Casino (1995)
      0000001222   46190   8.2  Judgment at Nuremberg (1961)
      0000001321  630750   8.2  A Beautiful Mind (2001)
      0000001222   65017   8.2  Smultronstället (1957)
      0000001321  166276   8.2  The Elephant Man (1980)
      0000001222   55224   8.2  The General (1926)
      0000001221   85069   8.2  Incendies (2010)
      0000001222  341498   8.1  Warrior (2011)
      0000001222  814788   8.1  V for Vendetta (2005)
      0000001221  814254   8.1  The Wolf of Wall Street (2013)
      0000001113   26855   8.1  La passion de Jeanne d'Arc (1928)
      0000001213   30583   8.1  Sunrise: A Song of Two Humans (1927)
      0000000124   32986   8.1  Sholay (1975)
      0000000222   44666   8.1  Munna Bhai M.B.B.S. (2003)
      0000000123   73626   8.1  Rang De Basanti (2006)
      0000001321  574989   8.1  Gran Torino (2008)
      0000001222  553148   8.1  The Big Lebowski (1998)
      0000001223   28370   8.1  Tôkyô monogatari (1953)
      0000001321  110104   8.1  Dial M for Murder (1954)
      0000001221  238618   8.1  The Deer Hunter (1978)
      0000001321  483042   8.1  Trainspotting (1996)
      0000001212  220730   8.1  Gone with the Wind (1939)
      0000001321  466960   8.1  Fargo (1996)
      0000001321  715981   8.1  Finding Nemo (2003)
      0000001321  122721   8.1  Cool Hand Luke (1967)
      0000001222   89827   8.1  Rebecca (1940)
      0000001321  721781   8.1  The Sixth Sense (1999)
      0000001222  266929   8.1  The Thing (1982)
      0000001321  500763   8.1  How to Train Your Dragon (2010)
      0000001221  631431   8.1  No Country for Old Men (2007)
      0000001222  603749   8.1  Star Wars: Episode VII - The Force Awakens (2015)
      0000001222  439611   8.1  Into the Wild (2007)
      0000001221  755521   8.1  Kill Bill: Vol. 1 (2003)
      0000000223   27552   8.1  Idi i smotri (1985)
      0000001221  123389   8.1  Mary and Max (2009)
